Date:  16:00, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Strain1
Plot step: 13   time : 68.2049 Microseconds
Result Type: ESTRN


Element  ,Value  ,X (in)  ,Y (in)  ,Z (in)
2248  ,8.173e-03  ,-2.17265677  ,0.12529844  ,5.00000000
643  ,9.991e-03  ,-0.70821166  ,0.31622848  ,5.00000000
3344  ,1.109e-02  ,0.11304402  ,2.50000000  ,0.37754250
3164  ,1.095e-02  ,-0.83042824  ,2.50000000  ,2.50805163
1098  ,1.130e-02  ,2.41056943  ,2.49562216  ,2.60360074
1285  ,7.861e-03  ,2.50000000  ,0.25384474  ,0.51411223
468  ,4.174e-03  ,2.50000000  ,-2.14615536  ,2.81411219
4585  ,7.020e-03  ,2.42163682  ,0.04514714  ,4.99103785
1999  ,2.220e-03  ,0.12734316  ,-2.27470160  ,5.00000000
3577  ,9.043e-03  ,0.02971489  ,2.47651601  ,4.95669508
824  ,3.037e-02  ,2.30976653  ,2.44122291  ,4.85530996
4443  ,1.022e-02  ,-2.18695593  ,2.50000000  ,2.67754245
3823  ,2.617e-03  ,2.37982202  ,2.37116742  ,4.85530996
792  ,3.380e-02  ,2.29999995  ,1.56921268  ,3.81228924
2874  ,1.184e-02  ,0.22578989  ,2.29999995  ,4.33501768
3427  ,1.656e-03  ,-2.40956044  ,-2.36252236  ,4.99604034
1489  ,5.022e-04  ,-2.41852593  ,2.49232626  ,0.11124856
2405  ,2.590e-03  ,2.50000000  ,-2.29378819  ,0.18634552
789  ,6.831e-03  ,2.41852593  ,-2.49232626  ,4.88875151
806  ,1.047e-03  ,-2.50000000  ,2.29378819  ,4.81365442
3968  ,9.345e-02  ,2.46864963  ,2.12944770  ,4.96747398
4440  ,9.802e-02  ,2.13152790  ,2.46793962  ,4.96825075
2919  ,6.858e-04  ,2.40956068  ,2.36252260  ,0.00396018
363  ,3.246e-02  ,2.29999995  ,1.83155751  ,4.63597202
2533  ,3.066e-02  ,2.04538321  ,2.21981573  ,4.79999971
4308  ,3.300e-02  ,2.05888224  ,2.29999995  ,4.76489925
976  ,1.027e-01  ,2.47071075  ,2.47071075  ,4.63309431
4295  ,1.967e-03  ,2.50000000  ,-2.32307744  ,2.65705633
804  ,6.229e-03  ,-2.45676875  ,2.47648597  ,2.56789756
112  ,1.175e-02  ,-1.08695030  ,2.50000000  ,2.31928039
3364  ,3.687e-03  ,-2.44934154  ,0.08962643  ,4.97956276
2712  ,9.804e-03  ,-0.90821165  ,0.41622853  ,5.00000000
1875  ,7.370e-03  ,0.05236431  ,2.49264431  ,0.08224132
2217  ,5.893e-03  ,2.50000000  ,0.17692244  ,0.15705618
464  ,9.073e-02  ,2.50000000  ,2.26654720  ,4.76654720
3195  ,1.331e-02  ,2.29999995  ,2.04615521  ,2.05243492
462  ,4.716e-03  ,2.50000000  ,0.00000014  ,0.10000013
1748  ,9.530e-03  ,2.29999995  ,-0.48729759  ,4.58588791
3150  ,1.960e-03  ,2.50000000  ,-2.39999986  ,2.50000000
637  ,1.366e-02  ,-0.26079607  ,2.17470169  ,4.79999971
3439  ,4.787e-02  ,2.13920403  ,2.04124856  ,4.79999971
259  ,1.230e-02  ,2.27265692  ,-0.35875133  ,4.79999971
4223  ,5.507e-03  ,-2.50000000  ,-0.17692244  ,4.84294367
975  ,9.518e-02  ,2.26654720  ,2.50000000  ,4.76654720
4606  ,1.227e-02  ,2.28695607  ,2.29999995  ,2.18900466
1211  ,6.645e-03  ,0.00000005  ,2.50000000  ,0.10000008
297  ,6.159e-03  ,-2.39999986  ,2.50000000  ,2.50000000
822  ,2.925e-02  ,2.32428217  ,2.45773506  ,4.82428217
